sample_id,video_id,clip_id,text,label_class,label_int,label_intensity,sequence_length,text_missing,face_detection_rate,decoded_audio_duration_sec,decoded_video_duration_sec,source_path
-3g5yACwYnA$_$13,-3g5yACwYnA,13,They've been able to find solutions or at least bring some answers to the table.,Positive,2,0.6666666865348816,15,False,1.0,5.399125,5.5,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/13.mp4
-3g5yACwYnA$_$3,-3g5yACwYnA,3,"We're a huge user of adhesives for our operation, called flocking, and we don't have the technical inside compounding or the technical expertise to do these types of things.",Neutral,1,0.0,29,False,1.0,14.327875,14.366666666666667,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/3.mp4
-3g5yACwYnA$_$2,-3g5yACwYnA,2,Key Polymer brings a technical aspect to our operation that we don't have internally.,Neutral,1,0.0,14,False,1.0,9.2313125,9.366666666666667,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/2.mp4
-3g5yACwYnA$_$9,-3g5yACwYnA,9,"We have many new opportunities through the way things have changed through the years, looking for new niche high-end, value-added products.",Positive,2,0.6666666865348816,21,False,1.0,8.6961875,8.8,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3g5yACwYnA/9.mp4
-3nNcZdcdvU$_$5,-3nNcZdcdvU,5,Noncompliance can result in legal liability to you and to the school district in which you are employed.,Neutral,1,0.0,18,False,0.9113924050632911,7.788625,7.866666666666666,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-3nNcZdcdvU/5.mp4
-HwX2H8Z4hY$_$2,-HwX2H8Z4hY,2,"” [President Ronald Reagan:] ""Look at the record",Neutral,1,0.0,8,False,0.0,3.915875,3.9666666666666663,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/2.mp4
-HwX2H8Z4hY$_$5,-HwX2H8Z4hY,5,""" President Ronald Reagan blamed the professional bureaucracy of education",Negative,0,-1.0,10,False,0.07017543859649122,5.5440625,5.633333333333333,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/5.mp4
-HwX2H8Z4hY$_$6,-HwX2H8Z4hY,6,"And in part, Al Shanker did too",Neutral,1,0.0,7,False,0.029411764705882353,3.256,3.333333333333333,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/6.mp4
-HwX2H8Z4hY$_$9,-HwX2H8Z4hY,9,It is a word which the administrator uses when he turns around anything which he doesn't like that the teacher is doing,Negative,0,-0.3333333432674408,22,False,0.0,7.636375,7.733333333333333,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-HwX2H8Z4hY/9.mp4
-NFrJFQijFE$_$1,-NFrJFQijFE,1,Structural mounts inside have to be properly stress analyzed so we make sure all that happens,Positive,2,0.3333333432674408,16,False,0.0,5.658875,5.72,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/1.mp4
-NFrJFQijFE$_$2,-NFrJFQijFE,2,So we coordinate with all the proper technical fields to get ready for the instrument to arrive here,Neutral,1,0.0,18,False,0.0,6.698375,6.84,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-NFrJFQijFE/2.mp4
-THoVjtIkeU$_$12,-THoVjtIkeU,12,"What ever we turn our attention to is what grows and so if we believe that anything is possible, if we believe that social justice can be achieved and if we believe in youth, they will believe in themselves.",Positive,2,2.0,39,False,0.09395973154362416,14.8055625,14.866666666666667,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/12.mp4
-THoVjtIkeU$_$2,-THoVjtIkeU,2,I think social justice is extremely important for young people.,Positive,2,1.3333333730697632,10,False,0.11627906976744186,4.230875,4.266666666666667,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/2.mp4
-THoVjtIkeU$_$6,-THoVjtIkeU,6,"You know that I think listening to young people, taking in what they have to say because what we have seen all around the world is the power of youth.",Positive,2,2.6666667461395264,30,False,0.024691358024691357,7.9829375,8.066666666666666,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-THoVjtIkeU/6.mp4
-UuX1xuaiiE$_$1,-UuX1xuaiiE,1,^And all of them are really being able to explore ^these different areas in depth ^in a way that really wasn't available ^before the center was here,Positive,2,1.6666666269302368,27,False,0.04807692307692308,10.2675,10.333333333333334,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/1.mp4
-UuX1xuaiiE$_$0,-UuX1xuaiiE,0,^it's amazing to see their enthusiasm and their passion,Positive,2,2.6666667461395264,9,False,0.4864864864864865,3.575875,3.6999999999999997,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/0.mp4
-UuX1xuaiiE$_$3,-UuX1xuaiiE,3,My goal is to become a human rights lawyer,Positive,2,0.3333333432674408,9,False,0.9024390243902439,4.038375,4.1,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/3.mp4
-UuX1xuaiiE$_$6,-UuX1xuaiiE,6,"I ended up going to work for the US government as an intelligence analyst, specializing in war crimes and human rights issues",Negative,0,-0.3333333432674408,22,False,0.49382716049382713,7.943875,8.1,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-UuX1xuaiiE/6.mp4
-a55Q6RWvTA$_$3,-a55Q6RWvTA,3,"And if you clip coupons, if you don't go out for dinner and movies and things of that nature and try to take up things in life that, well, they always say, ""the best things in life are free"". Reading a book, going for a nice walk, and, of course, combining exercise and various things of that nature where you're not spending money per se.",Positive,2,0.6666666865348816,50,False,0.009009009009009009,22.0833125,22.133333333333336,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-a55Q6RWvTA/3.mp4
-aNfi7CP8vM$_$7,-aNfi7CP8vM,7,"Maybe they have no political party affiliation, they're not interested in politics, they could care less about politics.",Neutral,1,0.0,18,False,0.9885057471264368,8.5376875,8.666666666666666,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aNfi7CP8vM/7.mp4
-aqamKhZ1Ec$_$0,-aqamKhZ1Ec,0,"In 2008, there were very serious tribal warfare in Kenya following a disputed election.",Negative,0,-2.0,14,False,0.9272727272727272,10.8901875,11.0,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-aqamKhZ1Ec/0.mp4
-dxfTGcXJoc$_$1,-dxfTGcXJoc,1,"For the 10th straight year, some of Kentucky’s best and most innovative biotech companies and technologies were on display at the annual BIO International Convention, which I and other state officials attended this week in Chicago.",Positive,2,1.6666666269302368,36,False,0.453416149068323,16.018125,16.133333333333336,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/1.mp4
-dxfTGcXJoc$_$0,-dxfTGcXJoc,0,"This is Governor Steve Beshear ... About Kentucky Our state is home to more than 1,500 bioscience and lifescience companies and more than 100,000 people who work for these firms, in areas from nutrigenomics and pharmaceuticals to nanotechnology and medical devices.",Positive,2,1.0,41,False,0.21844660194174756,20.410375,20.533333333333335,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/0.mp4
-dxfTGcXJoc$_$2,-dxfTGcXJoc,2,"An estimated 20,000 biotech scientists, executives and industry experts from more than 50 nations were at the BIO conference to learn about the latest scientific advances, and to exchange ideas and establish business relationships.",Positive,2,0.6666666865348816,34,False,0.7485029940119761,16.6331875,16.666666666666668,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/2.mp4
-dxfTGcXJoc$_$6,-dxfTGcXJoc,6,Kentucky’s participation at the annual BIO International Convention is the primary means by which our high-tech companies and institutions can reach out to the global scientific community.,Positive,2,0.6666666865348816,27,False,0.5625,12.6284375,12.733333333333333,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-dxfTGcXJoc/6.mp4
-egA8-b7-3M$_$26,-egA8-b7-3M,26,We're updating it all the time and looking forward to your comments on our videos.,Positive,2,1.6666666269302368,15,False,0.8333333333333334,5.9205625,6.0,data/raw/extracted/E题数据/附件1-数据集原始多模态样本/MOSEI数据集部分原始视频-100条/-egA8-b7-3M/26.mp4
